# index, TIC ID, TMag, separation (arcsec)
0, 144193715, 10.339, 0.0
1, 2027392387, 18.7091, 20.237
2, 144193716, 17.172, 42.878
3, 2027392389, 19.7882, 47.652
4, 144193711, 17.4941, 52.385
5, 2027392386, 20.4351, 59.26
6, 2027392385, 18.0452, 61.11
7, 144193714, 16.5562, 64.315
8, 2027392388, 17.585, 80.046
9, 144193719, 15.2054, 90.853
10, 144193713, 11.4663, 98.787
11, 2027392398, 18.4403, 100.979
12, 144193709, 15.5636, 102.046
13, 144193707, 16.6874, 104.469
14, 2027392316, 18.0943, 108.57
15, 144193712, 14.2188, 109.439
16, 144193721, 17.5014, 112.258
17, 2027392346, 20.6235, 112.273
18, 2027392350, 20.0715, 114.561
19, 144193706, 16.1149, 115.394
20, 144193710, 15.2987, 120.346
21, 2027392390, 20.6066, 121.936
22, 2027392393, 18.1628, 122.957
23, 2027392391, 20.2943, 124.665
24, 144193718, 16.5801, 127.661
25, 2027392406, 19.8188, 128.733
26, 144193724, 13.3417, 131.07
27, 144193722, 19.18, 132.589
28, 2027392397, 19.3553, 133.001
29, 2027392396, 20.1653, 135.036
30, 144193720, 17.0827, 137.26
31, 2027392403, 19.5545, 139.141
32, 2027392392, 18.5842, 138.518
33, 2027392314, 19.0721, 142.198
34, 144193725, 17.1122, 141.696
35, 2027392394, 18.9935, 145.752
36, 2027392345, 19.669, 147.264
37, 144193727, 17.7192, 151.651
38, 2027392315, 20.6281, 155.542
39, 2027392325, 17.8511, 156.796
40, 2027392351, 19.7597, 154.771
41, 144193705, 18.5812, 158.582
42, 2027392326, 19.5005, 158.352
43, 2027392414, 20.6276, 158.448
44, 144193700, 18.9826, 161.425
45, 144193708, 16.5577, 171.973
46, 2027392343, 19.2942, 173.692
47, 2027392405, 20.0075, 179.698
48, 2027392395, 19.2375, 179.711
49, 2027392404, 20.5123, 182.707
50, 2027392415, 20.6393, 181.715
51, 2027392418, 18.4418, 183.161
52, 2027392311, 18.8284, 185.281
53, 2027392328, 19.4199, 186.167
54, 2027392374, 18.6802, 185.917
55, 2027392324, 19.8474, 189.682
56, 144193732, 15.7592, 188.747
57, 2027392421, 20.4726, 192.35
58, 144193728, 13.1605, 193.445
59, 2027392344, 19.1748, 192.953
60, 2027392329, 19.2241, 196.006
61, 144193726, 12.6126, 197.12
62, 2027392320, 19.7666, 199.305
63, 2027392399, 19.4586, 199.692
64, 144194632, 17.8322, 202.125
65, 2027392313, 19.9731, 201.747
66, 144193697, 15.051, 204.413
67, 144193729, 14.6048, 205.528
68, 144193730, 13.8954, 203.877
69, 2027392312, 19.2128, 208.138
70, 2027392327, 18.8547, 209.852
71, 144193698, 17.111, 211.541
72, 2027392319, 19.6961, 213.411
73, 144193702, 16.424, 214.284
74, 144193701, 15.788, 214.298
75, 2027392310, 20.3684, 219.177
76, 144193731, 14.2633, 219.401
77, 2027392331, 19.5569, 220.658
78, 2027392401, 17.5563, 223.43
79, 2027392342, 19.2681, 224.862
80, 144193723, 15.3208, 224.713
81, 144193735, 14.0791, 227.9
82, 2027392419, 19.8908, 230.29
83, 144193733, 16.2578, 232.012
84, 144193704, 15.8898, 232.199
85, 2027392376, 18.4795, 232.092
86, 2027392409, 19.0736, 235.664
87, 144193734, 16.316, 236.268
88, 144193717, 16.0885, 235.893
89, 2027392407, 19.6882, 237.228
90, 144193699, 17.5956, 238.732
91, 144194624, 16.1459, 241.606
92, 2027392373, 19.7676, 240.292
93, 2027392416, 18.3153, 240.373
94, 2027392410, 18.7956, 243.427
95, 2027392304, 19.3538, 244.467
96, 2027392309, 19.7167, 245.187
97, 2027392318, 20.1598, 245.937
98, 144194636, 17.4277, 246.907
99, 144194627, 17.3517, 247.243
100, 2027392330, 17.8737, 247.661
101, 2027392417, 19.1656, 248.309
102, 2027392377, 19.2299, 248.954
103, 2027392400, 19.9581, 252.127
104, 2027392268, 18.6338, 252.005
105, 2027392308, 18.1848, 252.535
106, 2027392305, 18.3981, 252.869
107, 144193696, 16.5262, 252.127
108, 2027392422, 18.7759, 252.038
109, 2027392349, 19.9047, 252.326
110, 144194619, 16.8357, 255.864
111, 2027392321, 19.4454, 257.951
112, 2027392303, 18.6862, 257.832
113, 2027392375, 19.6284, 256.118
114, 2027392408, 20.7131, 258.431
115, 2027392420, 18.9839, 260.125
116, 2027392348, 19.8248, 261.144
117, 2027392267, 18.5465, 263.791
118, 147424533, 16.6238, 262.486
119, 2027392306, 20.5946, 266.414
120, 2027392307, 17.6982, 267.371
121, 144194615, 16.8771, 267.517
122, 2027392322, 17.5865, 268.438
123, 144194633, 17.345, 270.988
124, 2027392412, 19.8215, 270.326
125, 2027392301, 18.6168, 270.845
126, 144194618, 17.5993, 273.142
127, 144193703, 17.4104, 272.607
128, 2027392411, 19.1772, 276.399
129, 147424523, 13.6583, 274.72
130, 2027392372, 19.2527, 275.991
131, 2027392402, 19.4622, 278.426
132, 2027392317, 19.8971, 281.408
133, 144193694, 18.2771, 281.024
134, 144193738, 16.5365, 281.197
135, 2027392380, 19.794, 280.086
136, 2027392347, 19.7491, 281.434
137, 144193737, 17.4888, 281.781
138, 144193695, 12.7677, 283.485
139, 2027392379, 18.4453, 285.891
140, 2027392382, 19.7631, 291.129
141, 144194647, 14.8556, 296.997
142, 2027392323, 20.7225, 297.986
